P0,P1,P2,full_visibility,obscurity_sky,obscurity_sun,proximity_edge,proximity_noise,visibility_sky,visibility_sun,proximity_north1,proximity_south1,proximity_west1,proximity_east1
-86.2156906128,0.0,52.314956665,0.00133836199529,0.0010000000475,0.0254047866911,0.999000012875,0.670527100563,0.32954955101,0.0875972360373,0.613237380981,0.381488800049,0.993328690529,0.0010000000475
-86.2156906128,3.0,52.314956665,0.00226866314188,0.0150811290368,0.00878876168281,0.999000012875,0.671768844128,0.34274944663,0.107150875032,0.613441705704,0.381685465574,0.993444621563,0.00142913800664
-83.7886428833,0.0,54.0783081055,0.00133836199529,0.0010000000475,0.0254047866911,0.999000012875,0.657433331013,0.422611445189,0.0985213369131,0.601407408714,0.393228769302,0.978553771973,0.0157713163644
-81.3615875244,0.0,55.8416671753,0.00133836199529,0.0010000000475,0.0254047866911,0.999000012875,0.644339382648,0.488353192806,0.115123979747,0.589577257633,0.404968887568,0.963779091835,0.030542679131
-83.7886428833,3.0,54.0783081055,0.0798088610172,0.277342140675,0.158852234483,0.999000012875,0.65867125988,0.727705657482,0.348952233791,0.601614296436,0.393423229456,0.978670954704,0.016184758395
-81.3615875244,3.0,55.8416671753,0.0801081955433,0.237738981843,0.187411040068,0.999000012875,0.645573794842,0.792786061764,0.350151836872,0.589786708355,0.405161082745,0.96389746666,0.0309414938092
-78.9345397949,0.0,57.6050224304,0.00133836199529,0.0010000000475,0.0254047866911,0.999000012875,0.631245613098,0.532845139503,0.11886036396,0.577747225761,0.416708856821,0.949004292488,0.0453139916062
-76.507484436,0.0,59.3683776855,0.00133282924071,0.0010000000475,0.0248855371028,0.999000012875,0.618151783943,0.522107958794,0.118526287377,0.565917253494,0.428448855877,0.934229373932,0.0600853562355
-78.9345397949,3.0,57.6050224304,0.069657176733,0.202536165714,0.180660769343,0.999000012875,0.632476508617,0.757740139961,0.298198789358,0.577959299088,0.416898936033,0.949123859406,0.0456992052495
-76.507484436,3.0,59.3683776855,0.0549556650221,0.170853614807,0.152621254325,0.999000012875,0.619379341602,0.663304686546,0.244532376528,0.56613188982,0.428636789322,0.934350311756,0.0604578405619
-74.0804367065,0.0,61.1317329407,0.00136017124169,0.0010000000475,0.0274817869067,0.999000012875,0.605058073997,0.443520873785,0.0871673896909,0.554087221622,0.440188884735,0.919454693794,0.0748566761613
-71.6533813477,0.0,62.8950881958,0.00137621164322,0.0010000000475,0.0290395431221,0.999000012875,0.591964185238,0.363814890385,0.0756820291281,0.542257249355,0.451928824186,0.904679775238,0.08962803334
-74.0804367065,3.0,61.1317329407,0.0314214117825,0.0898871272802,0.130812704563,0.999000012875,0.606282532215,0.490889698267,0.148440420628,0.554304540157,0.44037476182,0.919576883316,0.0752172768116
-71.6533813477,3.0,62.8950881958,0.00277752475813,0.0106807760894,0.0207315292209,0.999000012875,0.593185782433,0.324999421835,0.0899469554424,0.542477369308,0.452112704515,0.904803395271,0.0899774953723
-69.2263336182,0.0,64.6584472656,0.00137621164322,0.0010000000475,0.0290395431221,0.999000012875,0.578870475292,0.321771323681,0.0764580965042,0.530427098274,0.463668942451,0.889904975891,0.104399353266
-66.7992858887,0.0,66.4217987061,0.00137089355849,0.0010000000475,0.0285202916712,0.999000012875,0.565776526928,0.299052000046,0.0779481008649,0.518597066402,0.475408941507,0.875130176544,0.119170665741
-69.2263336182,3.0,64.6584472656,0.00125466077588,0.00188007054385,0.0093080131337,0.999000012875,0.580089151859,0.277808099985,0.0796993225813,0.530650138855,0.46385088563,0.890029907227,0.104738309979
-66.7992858887,3.0,66.4217987061,0.00114459032193,0.0010000000475,0.0093080131337,0.999000012875,0.5669927001,0.259649962187,0.077869169414,0.51882314682,0.475588947535,0.875256597996,0.119499735534
-64.3722305298,0.0,68.1851577759,0.00137089355849,0.0010000000475,0.0285202916712,0.999000012875,0.552682757378,0.289240062237,0.0788998231292,0.506767094135,0.487148940563,0.860355317593,0.13394202292
-61.9451828003,0.0,69.9485092163,0.00137089355849,0.0010000000475,0.0285202916712,0.999000012875,0.539588868618,0.2886326015,0.0788201987743,0.494936972857,0.498888999224,0.84558057785,0.148713350296
-64.3722305298,3.0,68.1851577759,0.00127710425295,0.00188007054385,0.0103465141729,0.999000012875,0.553896546364,0.25107601285,0.0777903050184,0.506996095181,0.487327039242,0.860483169556,0.134261772037
-61.9451828003,3.0,69.9485092163,0.00126596621703,0.00188007054385,0.00982726365328,0.999000012875,0.540800631046,0.247684314847,0.0766139701009,0.495169043541,0.499065250158,0.845709979534,0.149024263024
-59.5181312561,0.0,71.7118682861,0.00139200116973,0.0010000000475,0.0305972993374,0.999000012875,0.526495039463,0.285000920296,0.0785022601485,0.483106940985,0.51062899828,0.830805778503,0.163484707475
-57.0910797119,0.0,73.4752197266,0.00139200116973,0.0010000000475,0.0305972993374,0.999000012875,0.513401269913,0.279000401497,0.0792988166213,0.471276909113,0.522369027138,0.816030979156,0.17825601995
-59.5181312561,3.0,71.7118682861,0.0012880852446,0.00188007054385,0.0108657646924,0.999000012875,0.527704834938,0.244313716888,0.0739942491055,0.483342289925,0.51080340147,0.830936551094,0.163787305355
-57.0910797119,3.0,73.4752197266,0.00118011282757,0.0010000000475,0.0119042666629,0.999000012875,0.514609336853,0.238188877702,0.0743755027652,0.471515506506,0.522541701794,0.816163241863,0.178550735116
-86.2156906128,6.0,52.314956665,0.0114119844511,0.155892416835,0.0155390221626,0.999000012875,0.675407469273,0.297816038132,0.0922561213374,0.614054679871,0.382275313139,0.99379247427,0.00271376548335
